time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132915.4975555253 6092526.9487521276 1504632.6028785270 0.0867324205 11.3140434823 0.8973334770 0.4238416806 0.8691545605 1.4598055425 -1.3402671001 -0.0861497787 -0.4130933692 0.0048600661 0.0161424517 0.5707753937 0.2759597164 -2.0784660130 -0.5866244538 0.0000000000 0.0000000000 
345630.0000000000 -1132915.7655980603 6092528.6369146211 1504633.7536539142 0.0134641567 11.3140434823 0.7739011086 0.0843162601 0.3694586339 0.9017050885 -0.8104856441 0.2200536259 -0.0216066008 -0.3529310841 -0.3345549205 0.6593087813 0.2891296869 -1.5080151981 -0.2311800403 0.0000000000 0.0000000000 
345660.0000000000 -1132916.5016949961 6092528.7250826685 1504632.9275129046 0.1991413738 11.3140434823 0.5618653674 0.2396631914 -0.7844951650 0.2225782888 -1.1676984270 0.5717678628 0.5143147737 0.2218683531 -0.9846252876 0.8158430169 1.9185330443 -0.9001300799 -0.8892934267 0.0000000000 0.0000000000 
345690.0000000000 -1132914.2954681201 6092528.3361039665 1504632.8957093977 0.0158186536 11.1654816136 0.3234343894 1.0182962745 -1.1745979947 1.5346907712 -0.7086128244 0.0000000000 -0.1221240717 -0.1860349857 1.3835676622 -0.2179981144 0.5270300878 -2.4074586947 0.2506461381 0.0000000000 0.0000000000 
345720.0000000000 -1132914.2308075146 6092526.0159189487 1504634.4424377589 0.1617380984 11.3140434823 0.1375505217 0.7117699020 -0.2316146450 1.2357468659 -1.3867069959 3.0326292335 -0.5681323742 0.9542799005 -1.0216560398 0.6672100104 -0.5833678343 -1.9316753673 -0.8018063504 0.0000000000 0.0000000000 
345750.0000000000 -1132914.4954547468 6092528.1898910599 1504632.7489617090 0.0329732362 11.3140434823 -0.5165137242 0.9687088249 0.5321551678 1.0324506329 0.7618518387 2.2708956406 0.0151935459 -0.5577614463 0.1867543430 -0.2458368669 -2.8601267757 -1.4130099118 -0.3621140982 0.0000000000 0.0000000000 
345780.0000000000 -1132914.7005726004 6092528.2861571582 1504632.7139957654 0.0355861023 11.1654816136 0.6997519027 0.7226398937 0.8833820058 0.0195772696 -0.0564300382 -1.8452559488 -0.2479412454 0.3127896244 2.0754980904 0.0000000000 -0.5039379663 -1.8693842898 -0.3747218206 0.0000000000 0.0000000000 
345810.0000000000 -1132914.3984109033 6092526.6285338691 1504633.5964524203 0.5285687021 11.3140434823 -0.7474794112 0.5426929167 1.8941879769 1.1531676504 -0.3827535493 0.1594222370 0.1314569828 0.3986309988 0.7907128168 0.1061400114 -1.6181320071 -1.2118444330 -1.4505208313 0.0000000000 0.0000000000 
345840.0000000000 -1132914.7683257100 6092528.2693813303 1504632.9335537748 0.2337178862 11.3140434823 -0.5568276586 1.0270818797 -0.6756867268 0.2326282251 -0.3940360663 2.1348372500 0.1419794988 1.1982375995 0.6691324788 0.3810506290 -1.0287190488 -1.9826003664 -0.9647727088 0.0000000000 0.0000000000 
345870.0000000000 -1132915.2068054678 6092530.4977690950 1504632.4716302138 0.0369519796 11.3140434823 1.0172562696 0.7526680319 -0.3497621486 -0.4443625238 0.5935137477 0.8128019180 0.8239232780 0.5205792396 0.9337710877 -0.1658778012 -1.3065744237 -2.8379297401 -0.3837118151 0.0000000000 0.0000000000 
345900.0000000000 -1132915.1313430888 6092528.4131909739 1504633.4912307572 0.0673036621 11.3140434823 -0.2718039400 0.6126376253 -0.3997499360 0.6705294095 -0.8172100573 0.5338165439 -0.0871732469 0.6136129648 0.6335490971 0.3258830518 0.2022256379 -1.3259297110 -0.5179810429 0.0000000000 0.0000000000 
345930.0000000000 -1132915.3153101336 6092528.3414072255 1504633.3968035781 0.1871414774 11.3140434823 -0.2640898075 0.7671044038 -0.1094952268 0.1904132825 -0.2633401267 1.6877256027 0.0844136213 0.8878395780 0.1223478150 0.1188824315 -0.9658758471 -1.3140931279 -0.8639513451 0.0000000000 0.0000000000 
345960.0000000000 -1132914.4394888871 6092528.0287602926 1504633.2957281980 0.0204073590 11.3140434823 0.5143096824 0.8497617737 0.5264028464 0.5484574470 -0.1227869024 -0.8220851458 -0.3049260669 -0.5386257663 1.2100371724 0.3654450489 -0.4057757383 -1.6408767134 -0.2853695443 0.0000000000 0.0000000000 
345990.0000000000 -1132914.5005758815 6092527.3961140243 1504633.0154601003 0.0777373609 11.1654816136 1.3564125052 0.3393686744 0.3293132202 0.3068752786 -0.1459518126 0.0000000000 0.7349112616 -0.1665471820 -0.4922987176 -0.1650362273 0.1689685636 -1.7096800634 -0.5570756950 0.0000000000 0.0000000000 
346020.0000000000 -1132914.7567393437 6092528.5898168869 1504632.7732054382 0.0096727732 11.1654816136 0.5619071110 0.7050492375 -0.1169210284 -0.0091874055 0.6208381783 1.7061045905 0.3520878981 -0.0736433295 0.1333413140 0.0000000000 -1.7793728783 -1.9796923481 -0.1956290709 0.0000000000 0.0000000000 
346050.0000000000 -1132915.0323612567 6092529.2860040357 1504633.0224073757 0.0620887725 11.3140434823 -0.0657443275 0.6808825853 0.1780484135 0.9096511856 -0.0680168920 1.3829950183 0.3956312416 -0.0054446761 0.5927662809 0.2096295761 -1.4830697141 -2.2677088976 -0.4981521956 0.0000000000 0.0000000000 
346080.0000000000 -1132914.7461231886 6092526.5657678712 1504631.8596170268 0.1551632486 11.3140434823 1.2322703178 0.9262990559 0.2432789981 0.3380122455 -0.7695511680 0.1167426331 -0.0341690702 0.4894879423 0.5560116071 0.5670078429 -0.0439703617 -2.7762065604 -0.7877097984 0.0000000000 0.0000000000 
346110.0000000000 -1132915.2277815333 6092527.3003835967 1504632.7804346157 0.1965226975 11.3140434823 -0.4398915910 0.8392408466 -0.0528544389 0.4634716256 -0.3031998967 -0.5119828625 0.4148725700 -0.0951384200 1.5160568074 0.6542382636 0.0897801410 -1.6186088413 -0.8867395910 0.0000000000 0.0000000000 
346140.0000000000 -1132914.8247759456 6092527.7861401988 1504632.7789263704 0.0323540761 11.3140434823 1.4240401230 0.5875357640 0.7531663894 0.2622974756 0.1048830359 1.4922477381 -0.0915519433 -0.4717068153 -0.8314323157 0.4759276660 -1.4392276264 -2.0380580590 -0.3598894421 0.0000000000 0.0000000000 
346170.0000000000 -1132916.0758427605 6092527.4618512634 1504632.8628890612 0.1308827479 11.3140434823 0.2030983314 0.2968869348 -0.5342256326 0.1010627058 -0.0395205338 3.3085439483 0.8578320841 0.4226033107 -1.8305389764 0.1860816539 -0.8698593840 -1.1587019561 -0.7240499901 0.0000000000 0.0000000000 
346200.0000000000 -1132914.9963342778 6092528.8779465547 1504632.9436428063 0.0503006939 11.3140434823 1.3675800985 0.1815196248 -0.1170643085 -0.3631222430 0.0354794066 1.3899879341 0.6684821826 0.2984870153 -1.0504082141 0.2512867263 -0.3728811599 -1.7646794431 -0.4489877649 0.0000000000 0.0000000000 
346230.0000000000 -1132915.7472335319 6092529.9699527351 1504632.5934222732 0.0514999648 11.3140434823 1.3853377934 1.0984816440 -0.7172891225 0.0183439205 -0.3791142732 0.7193138272 -0.0434602951 -0.5635115440 -0.9884731651 0.5634235576 0.9917075100 -1.3493477689 -0.4544363779 0.0000000000 0.0000000000 
346260.0000000000 -1132916.7492539100 6092525.8179116445 1504632.0822006520 0.8040190250 11.0041300577 0.0000000000 0.7582740772 0.7881766447 1.2668071366 -1.5222217847 0.0000000000 0.5515131123 0.7425509575 -0.1009418248 0.2160349656 0.8157566579 -1.5772311416 -1.7711926812 0.0000000000 0.0000000000 
346290.0000000000 -1132916.7767318059 6092529.6942520617 1504632.7920197255 0.1141950027 11.3140434823 0.0593067751 1.5929444129 -1.4893886119 0.9002242470 -1.0851250346 1.7411081172 -0.1635146142 -0.2073493486 -1.1461498863 0.2912829618 1.5033138471 -0.7546352677 -0.6770831919 0.0000000000 0.0000000000 
